Time, s;x;y;z
45913,00;910.26276;905.48846;50.05495
14,00;916.73047;904.54376;50.814926
45671,00;923.20337;903.5929;51.580395
45702,00;929.6816;902.6361;52.351353
45730,00;936.16516;901.6736;53.12781
45761,00;942.6543;900.7055;53.90977
45791,00;949.14905;899.7322;54.69723
45822,00;955.6494;898.7537;55.490196
45852,00;962.15564;897.7704;56.288666
45883,00;968.6677;896.78235;57.09265
45914,00;975.1858;895.78986;57.902145
15,00;981.7099;894.79315;58.71716
45672,00;988.2401;893.7924;59.53769
45703,00;994.7766;892.7879;60.36374
45731,00;1001.3194;891.77985;61.195316
45762,00;1007.86847;890.76843;62.032413
45792,00;1014.4241;889.75385;62.875042
45823,00;1020.98615;888.73645;63.723198
45853,00;1027.5548;887.71643;64.57689
45884,00;1034.1301;886.694;65.43611
45915,00;1040.712;885.6693;66.300865
16,00;1047.3008;884.64276;67.17116
45673,00;1053.8964;883.61444;68.04699
45704,00;1060.4987;882.5847;68.92835
45732,00;1067.1079;881.5538;69.81526
45763,00;1073.7241;880.52185;70.7077
45793,00;1080.3473;879.48914;71.60569
45824,00;1086.9775;878.456;72.50922
45854,00;1093.6147;877.42255;73.418274
45885,00;1100.2592;876.38916;74.33287
45916,00;1106.9105;875.35596;75.253006
17,00;1113.5691;874.32324;76.17868
45674,00;1120.2347;873.29126;77.10988
45705,00;1126.9076;872.26025;78.046616
45733,00;1133.5876;871.2304;78.98888
45764,00;1140.2748;870.2021;79.93666
45794,00;1146.9691;869.1755;80.88997
45825,00;1153.6707;868.15076;81.84879
45855,00;1160.3794;867.1283;82.813126
45886,00;1167.0953;866.1082;83.782974
45917,00;1173.8185;865.0908;84.75832
18,00;1180.5487;864.07635;85.739174
45675,00;1187.286;863.06506;86.72551
45706,00;1194.0305;862.0572;87.71733
45734,00;1200.7821;861.0529;88.71463
45765,00;1207.5406;860.05255;89.7174
45795,00;1214.3064;859.0563;90.725624
45826,00;1221.079;858.0644;91.73931
45856,00;1227.8586;857.0771;92.75843
45887,00;1234.6453;856.09454;93.78299
45918,00;1241.4386;855.1171;94.81297
19,00;1248.2389;854.14496;95.84836
45676,00;1255.0459;853.1783;96.88915
45707,00;1261.8596;852.21735;97.935326
45735,00;1268.68;851.2623;98.98688
45766,00;1275.5071;850.31354;100.043785
45796,00;1282.3406;849.3711;101.10604
45827,00;1289.1807;848.4353;102.17363
45857,00;1296.027;847.5063;103.24654
45888,00;1302.8798;846.58435;104.32474
45919,00;1309.7386;845.6697;105.408226
20,00;1316.6038;844.7624;106.49698
45677,00;1323.475;843.8628;107.59098
45708,00;1330.352;842.97107;108.69021
45736,00;1337.2351;842.0874;109.794655
45767,00;1344.1239;841.2119;110.90428
45797,00;1351.0184;840.3449;112.01908
45828,00;1357.9186;839.4865;113.13902
45858,00;1364.8242;838.63696;114.2641
45889,00;1371.7351;837.7964;115.39427
45920,00;1378.6514;836.96497;116.529526
21,00;1385.5729;836.1429;117.66984
45678,00;1392.4993;835.3303;118.81518
45709,00;1399.4307;834.52747;119.96553
45737,00;1406.3668;833.73444;121.12086
45768,00;1413.3077;832.95135;122.281136
45798,00;1420.2532;832.17847;123.44634
45829,00;1427.203;831.4159;124.61645
45859,00;1434.1572;830.6638;125.79142
45890,00;1441.1155;829.92224;126.97124
45921,00;1448.0779;829.19147;128.15587
22,00;1455.0441;828.4715;129.34526
45679,00;1462.014;827.7626;130.53941
45710,00;1468.9877;827.06476;131.7383
45738,00;1475.9647;826.3782;132.94185
45769,00;1482.9452;825.70294;134.15005
45799,00;1489.9287;825.0392;135.36288
45830,00;1496.9154;824.387;136.58029
45860,00;1503.9049;823.7465;137.80225
45891,00;1510.8971;823.1178;139.02872
45922,00;1517.8918;822.5009;140.25967
23,00;1524.889;821.896;141.49507
45680,00;1531.8885;821.3031;142.73486
45711,00;1538.8901;820.72235;143.97903
45739,00;1545.8936;820.1538;145.22752
45770,00;1552.8989;819.5975;146.48032
45800,00;1559.9059;819.05347;147.73737
45831,00;1566.9142;818.52185;148.99863
45861,00;1573.924;818.0027;150.26405
45892,00;1580.9348;817.496;151.53362
45923,00;1587.9465;817.0018;152.80727
24,00;1594.9592;816.52014;154.08498
45681,00;1601.9725;816.0511;155.3667
45712,00;1608.9862;815.5947;156.65239
45740,00;1616.0004;815.15094;157.94202
45771,00;1623.0145;814.71985;159.2355
45801,00;1630.0288;814.3014;160.53285
45832,00;1637.0428;813.8956;161.834
45862,00;1644.0565;813.50256;163.1389
45893,00;1651.0697;813.1222;164.44751
45924,00;1658.0822;812.75446;165.75978
25,00;1665.0939;812.3994;167.07568
45682,00;1672.1045;812.057;168.39516
45713,00;1679.114;811.72723;169.71817
45741,00;1686.1222;811.41003;171.04468
45772,00;1693.1289;811.1054;172.37463
45802,00;1700.134;810.81335;173.708
45833,00;1707.1372;810.53375;175.0447
45863,00;1714.1384;810.26654;176.3847
45894,00;1721.1376;810.0118;177.728
45925,00;1728.1344;809.7693;179.0745
26,00;1735.1289;809.53906;180.42418
45683,00;1742.1206;809.3211;181.77698
45714,00;1749.1097;809.11523;183.13287
45742,00;1756.0958;808.9214;184.4918
45773,00;1763.079;808.73956;185.85373
45803,00;1770.0588;808.56964;187.2186
45834,00;1777.0353;808.4115;188.58636
45864,00;1784.0084;808.2651;189.957
45895,00;1790.9778;808.13025;191.33044
45926,00;1797.9434;808.0069;192.70665
27,00;1804.905;807.895;194.08559
45684,00;1811.8627;807.7944;195.4672
45715,00;1818.816;807.70496;196.85144
45743,00;1825.7651;807.6266;198.23828
45774,00;1832.7097;807.55914;199.62767
45804,00;1839.6498;807.5025;201.01956
45835,00;1846.5851;807.45654;202.41391
45865,00;1853.5155;807.42114;203.81068
45896,00;1860.4409;807.3962;205.20982
45927,00;1867.3613;807.3815;206.6113
28,00;1874.2765;807.3769;208.01508
45685,00;1881.1863;807.38226;209.42108
45716,00;1888.0907;807.3975;210.82932
45744,00;1894.9895;807.4224;212.2397
45775,00;1901.8827;807.4568;213.65222
45805,00;1908.7701;807.5006;215.06682
45836,00;1915.6517;807.5535;216.48347
45866,00;1922.5273;807.61554;217.90213
45897,00;1929.3969;807.6864;219.32277
45928,00;1936.2603;807.7659;220.74533
29,00;1943.1174;807.85394;222.16978
45686,00;1949.9681;807.9503;223.5961
29.2;1956.8126;808.0548;225.02423
45745,00;1963.6505;808.1673;226.45415
45776,00;1970.4818;808.2876;227.88582
45806,00;1977.3065;808.41547;229.31921
45837,00;1984.1244;808.5508;230.75427
45867,00;1990.9355;808.69324;232.19098
45898,00;1997.7399;808.8428;233.62932
45929,00;2004.5372;808.99915;235.06921
30,00;2011.3276;809.1622;236.51068
45687,00;2018.111;809.3316;237.95366
30.2;2024.8872;809.50726;239.39812
45746,00;2031.6564;809.689;240.84404
45777,00;2038.4182;809.8765;242.2914
45807,00;2045.1729;810.06976;243.74016
45838,00;2051.9202;810.2684;245.19029
45868,00;2058.6604;810.47217;246.64177
45899,00;2065.393;810.681;248.09456
45930,00;2072.1184;810.8947;249.54866
31,00;2078.8364;811.113;251.00403
45688,00;2085.5469;811.33563;252.46063
31.2;2092.2498;811.5625;253.91846
45747,00;2098.9453;811.7933;255.37749
31.4;2105.6335;812.0279;256.8377
45808,00;2112.314;812.266;258.29907
31.6;2118.987;812.5075;259.76157
45869,00;2125.6526;812.7521;261.2252
45900,00;2132.3105;812.99963;262.6899
31.9;2138.961;813.2498;264.1557
32,00;2145.6038;813.50256;265.62256
32.1;2152.2393;813.7576;267.09045
32.2;2158.8672;814.0147;268.5594
32.3;2165.4875;814.2737;270.02936
32.4;2172.1003;814.5343;271.5003
32.5;2178.7058;814.7964;272.97223
32.6;2185.3037;815.0597;274.44513
32.7;2191.8943;815.32404;275.919
32.8;2198.4775;815.58923;277.39383
32.9;2205.0532;815.85504;278.86957
33,00;2211.6216;816.12134;280.34625
33.1;2218.1826;816.38776;281.82388
33.2;2224.7366;816.65424;283.3024
33.3;2231.2832;816.92053;284.7818
33.4;2237.8225;817.1864;286.26212
33.5;2244.355;817.4518;287.74335
33.6;2250.8801;817.7163;289.22543
33.7;2257.3982;817.97986;290.7084
33.8;2263.9094;818.2423;292.19226
33.9;2270.4136;818.50336;293.677
34,00;2276.911;818.7628;295.1626
34.1;2283.4014;819.0206;296.64908
34.2;2289.8853;819.2765;298.1364
34.3;2296.3623;819.5302;299.62463
34.4;2302.8328;819.7817;301.1137
34.5;2309.2966;820.03064;302.60364
34.6;2315.754;820.27704;304.09445
34.7;2322.205;820.52057;305.58615
34.8;2328.6497;820.7611;307.07874
34.9;2335.088;820.9985;308.57217
35,00;2341.5203;821.23254;310.0665
35.1;2347.9463;821.46313;311.56174
35.2;2354.3665;821.69;313.05786
35.3;2360.7805;821.9131;314.55487
35.4;2367.189;822.1322;316.0528
35.5;2373.5916;822.3472;317.55167
35.6;2379.9883;822.5579;319.05142
35.7;2386.3796;822.76416;320.55212
35.8;2392.7656;822.9659;322.05377
35.9;2399.146;823.16284;323.55637
36,00;2405.5212;823.355;325.05994
36.1;2411.8914;823.54205;326.56448
36.2;2418.2563;823.72406;328.07
36.3;2424.6162;823.90076;329.5765
36.4;2430.9714;824.0721;331.08405
36.5;2437.3215;824.23785;332.5926
36.6;2443.6672;824.398;334.10217
36.7;2450.0083;824.5524;335.61282
36.8;2456.345;824.7009;337.1245
36.9;2462.6775;824.8435;338.6373
37,00;2469.0054;824.9799;340.15118
37.1;2475.3293;825.11017;341.66617
37.2;2481.6494;825.23413;343.18228
